id,name,latitude,longitude,dpcapacity,online date
275,Ashland Ave & 13th St,41.865234,-87.666507,15,9/12/2013
247,Shore Drive & 55th St,41.795212,-87.580715,15,8/23/2013
248,Woodlawn Ave & 55th St,41.795264,-87.596471,15,8/23/2013
328,Ellis Ave & 58th St,41.788746,-87.601334,15,9/25/2013
306,Sheridan Rd & Buena Ave,41.9584,-87.65423,15,9/23/2013
312,Clarendon Ave & Gordon Ter,41.957879,-87.649519,15,9/20/2013
323,Sheridan Rd & Lawrence Ave,41.969517,-87.654691,15,9/23/2013
251,Clarendon Ave & Leland Ave,41.967968,-87.650001,15,8/26/2013
249,Montrose Harbor,41.963982,-87.638181,15,8/26/2013
245,Clarendon Ave & Junior Ter,41.961004,-87.649603,15,8/26/2013
325,Clark St & Winnemac Ave,41.973385,-87.668365,15,9/23/2013
281,Western Ave & 24th St,41.84847,-87.685109,15,9/13/2013
252,Greenwood Ave & 47th St,41.809835,-87.599383,15,8/27/2013
322,Kimbark Ave & 53rd St,41.799568,-87.594747,15,9/21/2013
121,Blackstone Ave & Hyde Park Blvd,41.802562,-87.590368,15,8/28/2013
207,Emerald Ave & 28th St,41.84358,-87.645368,15,8/15/2013
339,Emerald Ave & 31st St,41.838198,-87.645143,11,9/28/2013
178,State St & 19th St,41.856594,-87.627542,15,7/23/2013
233,Sangamon St & Washington Blvd,41.883004,-87.651148,15,8/29/2013
236,Sedgwick St & Schiller St,41.907576,-87.638517,15,8/21/2013
279,Halsted St & 35th St,41.830661,-87.647172,15,9/13/2013
262,Halsted St & 37th St,41.827071,-87.645801,11,10/1/2013
278,Wallace Ave & 35th St,41.830629,-87.64129,15,9/13/2013
179,Martin Luther King Dr & Oakwood Blvd,41.82256,-87.61615,15,7/24/2013
336,Cottage Grove Ave & 47th St,41.809855,-87.606755,15,10/17/2013
196,Cityfront Plaza & N Water St,41.889875,-87.621994,19,8/10/2013
181,LaSalle St & Illinois St,41.890749,-87.63206,31,7/21/2013
341,Adler Planetarium,41.866095,-87.607267,19,10/9/2013
285,Wood St & Grand Ave,41.89113,-87.67203,15,9/13/2013
277,Ashland Ave & Grand Ave,41.891072,-87.666611,15,9/12/2013
351,Cottage Grove Ave & 51st St,41.803038,-87.606615,15,10/17/2013
