trip_id,starttime,stoptime,bikeid,tripduration,from_station_id,from_station_name,to_station_id,to_station_name,usertype,gender,birthyear
2355092,6/30/2014 21:55,6/30/2014 21:59,774,249,181,LaSalle St & Illinois St,51,Clark St & Randolph St,Subscriber,Male,1983
2355091,6/30/2014 21:55,6/30/2014 22:01,578,338,289,Wells St & Concord Ln,138,Clybourn Ave & Division St,Subscriber,Male,1988
2355089,6/30/2014 21:52,6/30/2014 22:15,2070,1379,45,Michigan Ave & Congress Pkwy,97,Museum Campus,Customer,,
2355088,6/30/2014 21:51,6/30/2014 22:15,546,1390,45,Michigan Ave & Congress Pkwy,97,Museum Campus,Customer,,
2355082,6/30/2014 21:46,6/30/2014 22:02,1528,932,26,McClurg Ct & Illinois St,51,Clark St & Randolph St,Customer,,
2355081,6/30/2014 21:46,6/30/2014 21:54,2970,487,25,Michigan Ave & Pearson St,140,Dearborn Pkwy & Delaware Pl,Subscriber,Female,1977
2355080,6/30/2014 21:46,6/30/2014 22:02,242,949,26,McClurg Ct & Illinois St,51,Clark St & Randolph St,Customer,,
2355079,6/30/2014 21:45,6/30/2014 21:56,1722,651,173,Mies van der Rohe Way & Chicago Ave,74,Kingsbury St & Erie St,Subscriber,Male,1953
2355076,6/30/2014 21:45,6/30/2014 21:48,66,169,30,Ashland Ave & Augusta Blvd,183,Damen Ave & Augusta Blvd,Subscriber,Male,1975
2355075,6/30/2014 21:44,6/30/2014 22:07,1164,1340,177,Theater on the Lake,294,Broadway & Berwyn Ave,Subscriber,Male,1965
2355073,6/30/2014 21:44,6/30/2014 22:02,1922,1087,24,Fairbanks Ct & Grand Ave,118,Sedgwick St & North Ave,Subscriber,Male,1987
2355072,6/30/2014 21:44,6/30/2014 21:53,2634,552,25,Michigan Ave & Pearson St,52,Michigan Ave & Lake St,Subscriber,Male,1975
2355069,6/30/2014 21:44,6/30/2014 21:51,1619,423,287,Franklin St & Arcade Pl,84,Green St & Milwaukee Ave,Subscriber,Male,1986
2355067,6/30/2014 21:44,6/30/2014 21:46,2879,126,240,Sheridan Rd & Irving Park Rd,254,Pine Grove Ave & Irving Park Rd,Subscriber,Male,1988
2355065,6/30/2014 21:43,6/30/2014 21:50,2517,384,291,Wells St & Evergreen Ave,337,Clark St & Chicago Ave,Subscriber,Male,1979
2355064,6/30/2014 21:43,6/30/2014 22:00,2644,1058,20,Sheffield Ave & Kingsbury St,230,Lincoln Ave & Roscoe St,Subscriber,Male,1984
2355061,6/30/2014 21:42,6/30/2014 21:57,1764,906,202,Halsted St & 18th St,321,Wabash Ave & 8th St,Subscriber,Female,1991
2355059,6/30/2014 21:39,6/30/2014 21:55,1201,947,120,Wentworth Ave & Archer Ave,132,Wentworth Ave & 24th St,Subscriber,Male,1993
2355057,6/30/2014 21:38,6/30/2014 21:43,2918,256,284,Michigan Ave & Jackson Blvd,286,Franklin St & Quincy St,Subscriber,Male,1986
2355056,6/30/2014 21:38,6/30/2014 21:52,1910,832,43,Michigan Ave & Washington St,338,Calumet Ave & 18th St,Subscriber,Male,1975
2355055,6/30/2014 21:37,6/30/2014 21:45,501,454,289,Wells St & Concord Ln,337,Clark St & Chicago Ave,Subscriber,Male,1990
2355052,6/30/2014 21:30,6/30/2014 21:32,2865,121,141,Clark St & Lincoln Ave,289,Wells St & Concord Ln,Subscriber,Male,1988
2355050,6/30/2014 21:29,6/30/2014 21:44,1164,883,26,McClurg Ct & Illinois St,177,Theater on the Lake,Subscriber,Male,1965
2355049,6/30/2014 21:29,6/30/2014 21:33,504,226,229,Southport Ave & Roscoe St,153,Southport Ave & Wellington Ave,Subscriber,Male,1988
2355048,6/30/2014 21:27,6/30/2014 21:40,1772,802,202,Halsted St & 18th St,280,Morgan St & 31st St,Subscriber,Female,1978
2355046,6/30/2014 21:26,6/30/2014 21:42,698,963,143,Sedgwick St & Webster Ave,143,Sedgwick St & Webster Ave,Subscriber,Male,1988
2355045,6/30/2014 21:26,6/30/2014 21:48,2952,1312,210,Ashland Ave & Division St,246,Ashland Ave & Belle Plaine Ave,Subscriber,Male,1983
2355044,6/30/2014 21:26,6/30/2014 21:37,578,630,74,Kingsbury St & Erie St,289,Wells St & Concord Ln,Subscriber,Female,1984
2355039,6/30/2014 21:22,6/30/2014 21:39,579,1039,264,Stetson Ave & South Water St,147,Indiana Ave & 26th St,Subscriber,Male,1980
2355038,6/30/2014 21:22,6/30/2014 21:29,1164,447,100,Orleans St & Merchandise Mart Plaza,26,McClurg Ct & Illinois St,Subscriber,Male,1965
2355034,6/30/2014 21:20,6/30/2014 21:31,146,698,48,Larrabee St & Kingsbury St,99,Lake Shore Dr & Ohio St,Subscriber,Male,1970
2355020,6/30/2014 21:16,6/30/2014 21:23,314,433,5,State St & Harrison St,52,Michigan Ave & Lake St,Customer,,
2355018,6/30/2014 21:16,6/30/2014 21:24,1147,464,67,Sheffield Ave & Fullerton Ave,117,Wilton Ave & Belmont Ave,Subscriber,Male,1986
2355013,6/30/2014 21:14,6/30/2014 21:18,1541,237,324,Stockton Dr & Wrightwood Ave,332,Halsted St & Diversey Pkwy,Subscriber,Male,1953
2355012,6/30/2014 21:14,6/30/2014 21:26,853,693,310,Damen Ave & Charleston St,128,Damen Ave & Chicago Ave,Customer,,
2355011,6/30/2014 21:14,6/30/2014 21:32,225,1079,88,May St & Randolph St,27,Larrabee St & North Ave,Subscriber,Male,1952
2355004,6/30/2014 21:12,6/30/2014 21:21,2736,525,52,Michigan Ave & Lake St,255,Indiana Ave & Roosevelt Rd,Subscriber,Female,1985
2355003,6/30/2014 21:12,6/30/2014 21:23,2854,682,90,Millennium Park,43,Michigan Ave & Washington St,Customer,,
2355000,6/30/2014 21:11,6/30/2014 21:26,2311,898,71,Morgan St & Lake St,130,Damen Ave & Division St,Subscriber,Male,1985
2354996,6/30/2014 21:10,6/30/2014 21:15,361,281,36,Franklin St & Jackson Blvd,100,Orleans St & Merchandise Mart Plaza,Subscriber,Female,1988
2354995,6/30/2014 21:10,6/30/2014 21:14,2149,243,36,Franklin St & Jackson Blvd,77,Clinton St & Madison St,Subscriber,Male,1988
2354992,6/30/2014 21:09,6/30/2014 21:19,2783,618,106,State St & Pearson St,174,Canal St & Madison St,Subscriber,Male,1963
2354974,6/30/2014 21:05,6/30/2014 21:14,73,518,241,Morgan St & Polk St,50,Clark St & Congress Pkwy,Customer,,
2354972,6/30/2014 21:04,6/30/2014 21:09,1452,259,340,Clark St & Wrightwood Ave,302,Sheffield Ave & Wrightwood Ave,Subscriber,Male,1970
2354970,6/30/2014 21:04,6/30/2014 21:09,1518,267,67,Sheffield Ave & Fullerton Ave,340,Clark St & Wrightwood Ave,Subscriber,Male,1988
2354964,6/30/2014 21:03,6/30/2014 21:11,1986,493,116,Western Ave & Winnebago Ave,130,Damen Ave & Division St,Subscriber,Female,1980
2354962,6/30/2014 21:02,6/30/2014 21:15,1482,744,44,State St & Randolph St,126,Clark St & North Ave,Subscriber,Male,1955
